PLAYER_NAME,TEAM_ABBREVIATION,SEASON,PTS,NEXT_SEASON_PTS,PREDICTED_NEXT_SEASON_PTS,ERROR,ABS_ERROR,LOWER_CONFIDENCE_RANGE,UPPER_CONFIDENCE_RANGE,AGE,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PLUS_MINUS,USG_PCT,TS_PCT,PACE,OFF_RATING,NET_RATING,TEAM_PACE,TEAM_OFF_RATING,TEAM_DEF_RATING,TEAM_NET_RATING,PTS_LAST_YEAR,MIN_LAST_YEAR,GP_LAST_YEAR,USG_LAST_YEAR,TS_LAST_YEAR,PTS_CHANGE,MIN_CHANGE,GP_CHANGE,USG_CHANGE,TS_CHANGE
Bismack Biyombo,OKC,2023-24,174,144.0,143.49825,0.5017547607421875,0.5017547607421875,-75.122055,362.11853,31.0,40,791.4616666666667,74,131,0.565,0,0,0.0,26,54,0.481,209,53,42,11,37,-65,0.106,0.562,99.64,110.2,-3.8,100.85,118.3,111.0,7.3,263.0,874.085,61.0,0.136,0.555,-89.0,-82.62333333333333,-21.0,-0.030000000000000013,0.007000000000000006
Alex Len,SAC,2023-24,120,74.0,73.37493,0.6250686645507812,0.6250686645507812,-145.24536,291.99524,31.0,48,444.245,50,81,0.617,0,3,0.0,20,34,0.588,128,50,27,11,33,142,0.114,0.625,101.73,116.3,15.4,99.46,116.2,114.4,1.8,43.0,161.24666666666667,26.0,0.132,0.58,77.0,282.99833333333333,22.0,-0.018000000000000002,0.04500000000000004
Tyrese Haliburton,IND,2023-24,1389,1359.0,1358.1439,0.8560791015625,0.8560791015625,1139.5237,1576.7642,24.0,69,2223.5383333333334,500,1048,0.477,195,535,0.364,194,227,0.855,271,752,159,83,48,294,0.239,0.605,103.42,122.4,6.2,102.16,120.5,117.6,2.9,1160.0,1882.8533333333332,56.0,0.238,0.624,229.0,340.6850000000002,13.0,0.0010000000000000009,-0.019000000000000017
Miles Bridges,CHA,2023-24,1449,1300.0,1299.0332,0.966796875,0.966796875,1080.4128,1517.6536,26.0,69,2581.116666666667,559,1210,0.462,157,450,0.349,174,211,0.825,505,231,138,65,33,-633,0.242,0.556,98.46,108.0,-12.1,97.81,108.6,119.2,-10.6,1613.0,2837.1133333333332,80.0,0.224,0.593,-164.0,-255.99666666666644,-11.0,0.017999999999999988,-0.03699999999999992
CJ McCollum,NOP,2023-24,1322,1183.0,1185.6907,-2.690673828125,2.690673828125,967.0704,1404.311,32.0,66,2158.536666666667,484,1055,0.459,239,557,0.429,115,139,0.827,286,305,110,62,41,195,0.244,0.592,99.19,115.9,3.7,98.7,116.5,111.9,4.6,1568.0,2649.1683333333335,75.0,0.26,0.541,-246.0,-490.63166666666666,-9.0,-0.016000000000000014,0.050999999999999934
Mikal Bridges,BKN,2023-24,1606,1444.0,1440.8116,3.1883544921875,3.1883544921875,1222.1914,1659.4319,27.0,82,2854.24,564,1294,0.436,220,592,0.372,258,317,0.814,372,299,164,81,30,-185,0.238,0.56,98.35,111.0,-3.3,97.56,112.4,115.4,-2.9,1671.0,2963.1766666666667,83.0,0.223,0.587,-65.0,-108.93666666666695,-1.0,0.014999999999999986,-0.026999999999999913
Jae'Sean Tate,HOU,2023-24,265,188.0,192.2509,-4.2509002685546875,4.2509002685546875,-26.3694,410.87122,28.0,65,1031.4566666666667,108,229,0.472,23,77,0.299,26,39,0.667,197,64,37,42,15,78,0.115,0.538,101.59,110.1,5.1,99.59,113.7,112.8,0.9,283.0,677.4883333333333,31.0,0.178,0.546,-18.0,353.96833333333336,34.0,-0.06299999999999999,-0.008000000000000007
Shake Milton,NYK,2023-24,216,315.0,319.61398,-4.613983154296875,4.613983154296875,100.99368,538.23425,27.0,48,581.16,79,195,0.405,18,64,0.281,40,49,0.816,75,60,31,19,6,-46,0.173,0.499,103.78,104.6,-4.8,95.96,117.3,112.4,4.9,637.0,1567.3533333333332,76.0,0.175,0.575,-421.0,-986.1933333333333,-28.0,-0.0020000000000000018,-0.07599999999999996
Mason Plumlee,LAC,2023-24,244,333.0,338.86368,-5.863677978515625,5.863677978515625,120.24338,557.484,34.0,46,673.9266666666666,87,153,0.569,0,6,0.0,70,99,0.707,234,55,36,14,17,11,0.147,0.621,100.71,115.8,0.3,97.93,117.9,114.6,3.4,857.0,2052.945,79.0,0.149,0.689,-613.0,-1379.0183333333334,-33.0,-0.0020000000000000018,-0.06799999999999995
Orlando Robinson,MIA,2023-24,99,303.0,308.99487,-5.994873046875,5.994873046875,90.37457,527.6152,23.0,36,303.69,36,72,0.5,8,15,0.533,19,25,0.76,84,34,18,7,8,12,0.143,0.596,98.39,113.1,3.5,96.88,113.3,111.5,1.8,116.0,425.15,31.0,0.116,0.565,-17.0,-121.45999999999998,5.0,0.026999999999999982,0.031000000000000028
